tc,cta,id_art,id_subsubfam,id_subfam,id_famn,id_seccion,id_subagr,id_agr,vta,uni,id_artn,art_sp,fam_sp,fam_en
613111122,54691661,17119,101070640100,1010706401,10107064,101,107,101,13.56,5,17119,FIDEOS FINOS 250 G Brand_3,PASTA ALIMENTICIA SE,pasta
526910959,62375978,17826,101070640100,1010706401,10107064,101,107,101,11.75,2,17826,MARAVILLA 250 G Brand_2,PASTA ALIMENTICIA SE,pasta
574963196,73946190,77291,101070640100,1010706401,10107064,101,107,101,6.63,5,77291,TALLARINES 1 KG Brand_3,PASTA ALIMENTICIA SE,pasta
674613528,24876474,27688,101070640100,1010706401,10107064,101,107,101,5.93,2,27688,TALLARINES 500 G Store_Brand,PASTA ALIMENTICIA SE,pasta
681564314,36652322,54546,101070640100,1010706401,10107064,101,107,101,2.46,3,54546,FIDEOS FINOS 500 G Brand_1,PASTA ALIMENTICIA SE,pasta
759287181,74798293,14461,101070640100,1010706401,10107064,101,107,101,3.41,2,14461,FIDEO CABELLIN 1 KG Brand_2,PASTA ALIMENTICIA SE,pasta
264026570,54375134,99553,101070640100,1010706401,10107064,101,107,101,7.82,1,99553,SPAGHETTI N5 250 G Store_Brand,PASTA ALIMENTICIA SE,pasta
226853210,80557527,45949,101070640100,1010706401,10107064,101,107,101,6.65,2,45949,SPAGHETTI N5 1 KG Brand_2,PASTA ALIMENTICIA SE,pasta
721577954,60442016,52395,101070640100,1010706401,10107064,101,107,101,14.71,5,52395,TALLARINES 1 KG Brand_3,PASTA ALIMENTICIA SE,pasta
718551799,24653328,79868,101070640100,1010706401,10107064,101,107,101,1.49,10,79868,MACARRONES 500 G Brand_3,PASTA ALIMENTICIA SE,pasta
604673412,22367303,96141,101070640100,1010706401,10107064,101,107,101,3.93,2,96141,SPAGHETTI N5 250 G Store_Brand,PASTA ALIMENTICIA SE,pasta
179525871,80267238,43281,101070640100,1010706401,10107064,101,107,101,6.27,3,43281,FIDEO CABELLIN 500 G Brand_1,PASTA ALIMENTICIA SE,pasta
472741671,85591049,93224,101070640100,1010706401,10107064,101,107,101,13.13,3,93224,SPAGHETTI N5 250 G Brand_2,PASTA ALIMENTICIA SE,pasta
